scenario,allocation,entry_date,expiry_date,weighted_pnl_before_stt_points,weighted_exercise_stt_points,weighted_pnl_after_stt_points,weighted_return_after_stt,defensive_short_intrinsic_points,growth_short_intrinsic_points,defensive_itm_short_legs,growth_itm_short_legs
harsh_stress,def_full_resg0_ovg50,2020-10-12,2020-10-15,-0.9449999999999985,0.0,-0.9449999999999985,-0.0016054227613271467,0.0,0.0,0,0
harsh_stress,def_full_resg0_ovg50,2020-11-13,2020-11-19,-6.427500000000002,0.0,-6.427500000000002,-0.010007239776734629,0.0,0.0,0,0
harsh_stress,def_full_resg0_ovg50,2020-12-07,2020-12-10,-11.332500000000001,0.0,-11.332500000000001,-0.01629274464276729,0.0,0.0,0,0
harsh_stress,def_full_resg0_ovg50,2020-12-28,2020-12-31,-9.450000000000003,0.0,-9.450000000000003,-0.013610831052858999,0.0,0.0,0,0
harsh_stress,def_full_resg0_ovg50,2021-01-07,2021-01-14,21.097500000000007,0.0,21.097500000000007,0.029142809782646245,0.0,0.0,0,0
harsh_stress,def_full_resg0_ovg50,2021-01-11,2021-01-14,-1.7550000000000079,0.0,-1.7550000000000079,-0.002374284670644112,0.0,0.0,0,0
harsh_stress,def_full_resg0_ovg50,2021-02-01,2021-02-04,60.87,0.0,60.87,0.08727882767916033,0.0,0.0,0,0
harsh_stress,def_full_resg0_ovg50,2021-02-04,2021-02-11,23.332499999999996,0.0,23.332499999999996,0.03229657620995369,0.0,0.0,0,0
harsh_stress,def_full_resg0_ovg50,2021-02-08,2021-02-11,0.375,0.0,0.375,0.00047603935258648045,0.0,0.0,0,0
harsh_stress,def_full_resg0_ovg50,2021-04-26,2021-04-29,27.637500000000003,0.0,27.637500000000003,0.03840808810756349,0.0,0.0,0,0
harsh_stress,def_full_resg0_ovg50,2021-04-29,2021-05-06,86.33249999999998,0.0,86.33249999999998,0.12687652933007074,0.0,0.0,0,0
harsh_stress,def_full_resg0_ovg50,2021-05-20,2021-05-27,41.58,0.0,41.58,0.05469037722944178,0.0,0.0,0,0
harsh_stress,def_full_resg0_ovg50,2021-05-31,2021-06-03,-11.580000000000002,0.0,-11.580000000000002,-0.014552857789172072,0.0,0.0,0,0
harsh_stress,def_full_resg0_ovg50,2021-08-04,2021-08-12,0.3000000000000015,0.0,0.3000000000000015,0.0003580806875149218,0.0,0.0,0,0
harsh_stress,def_full_resg0_ovg50,2021-12-27,2021-12-30,1.9199999999999964,0.0,1.9199999999999964,0.0021652832912305987,0.0,0.0,0,0
harsh_stress,def_full_resg0_ovg50,2021-12-30,2022-01-06,15.697500000000005,0.0,15.697500000000005,0.017888175400411387,0.0,0.0,0,0
harsh_stress,def_full_resg0_ovg50,2022-01-03,2022-01-06,-5.557500000000003,0.0,-5.557500000000003,-0.006232442343600185,0.0,0.0,0,0
harsh_stress,def_full_resg0_ovg50,2022-01-05,2022-01-13,24.79499999999999,0.0,24.79499999999999,0.028451926055974377,0.0,0.0,0,0
