trade_date,status,url,path,bytes,generated_at_ist
2024-08-22,fetched,https://nsearchives.nseindia.com/content/fo/BhavCopy_NSE_FO_0_0_0_20240822_F_0000.csv.zip,C:\Ramgo\Business\Trading\India2026\Gitrade1\ctrade1\data\nse_fno_bhavcopy\2024\08\BhavCopy_NSE_FO_0_0_0_20240822_F_0000.csv.zip,1260212,2026-07-03T09:41:20.619966+05:30
2024-08-23,fetched,https://nsearchives.nseindia.com/content/fo/BhavCopy_NSE_FO_0_0_0_20240823_F_0000.csv.zip,C:\Ramgo\Business\Trading\India2026\Gitrade1\ctrade1\data\nse_fno_bhavcopy\2024\08\BhavCopy_NSE_FO_0_0_0_20240823_F_0000.csv.zip,1268136,2026-07-03T09:41:20.619966+05:30
2024-08-26,fetched,https://nsearchives.nseindia.com/content/fo/BhavCopy_NSE_FO_0_0_0_20240826_F_0000.csv.zip,C:\Ramgo\Business\Trading\India2026\Gitrade1\ctrade1\data\nse_fno_bhavcopy\2024\08\BhavCopy_NSE_FO_0_0_0_20240826_F_0000.csv.zip,1284872,2026-07-03T09:41:20.619966+05:30
2024-08-27,fetched,https://nsearchives.nseindia.com/content/fo/BhavCopy_NSE_FO_0_0_0_20240827_F_0000.csv.zip,C:\Ramgo\Business\Trading\India2026\Gitrade1\ctrade1\data\nse_fno_bhavcopy\2024\08\BhavCopy_NSE_FO_0_0_0_20240827_F_0000.csv.zip,1302684,2026-07-03T09:41:20.619966+05:30
2024-08-28,fetched,https://nsearchives.nseindia.com/content/fo/BhavCopy_NSE_FO_0_0_0_20240828_F_0000.csv.zip,C:\Ramgo\Business\Trading\India2026\Gitrade1\ctrade1\data\nse_fno_bhavcopy\2024\08\BhavCopy_NSE_FO_0_0_0_20240828_F_0000.csv.zip,1308177,2026-07-03T09:41:20.619966+05:30
2024-08-29,fetched,https://nsearchives.nseindia.com/content/fo/BhavCopy_NSE_FO_0_0_0_20240829_F_0000.csv.zip,C:\Ramgo\Business\Trading\India2026\Gitrade1\ctrade1\data\nse_fno_bhavcopy\2024\08\BhavCopy_NSE_FO_0_0_0_20240829_F_0000.csv.zip,1310955,2026-07-03T09:41:20.619966+05:30
2024-08-30,fetched,https://nsearchives.nseindia.com/content/fo/BhavCopy_NSE_FO_0_0_0_20240830_F_0000.csv.zip,C:\Ramgo\Business\Trading\India2026\Gitrade1\ctrade1\data\nse_fno_bhavcopy\2024\08\BhavCopy_NSE_FO_0_0_0_20240830_F_0000.csv.zip,1047671,2026-07-03T09:41:20.619966+05:30
2024-09-02,fetched,https://nsearchives.nseindia.com/content/fo/BhavCopy_NSE_FO_0_0_0_20240902_F_0000.csv.zip,C:\Ramgo\Business\Trading\India2026\Gitrade1\ctrade1\data\nse_fno_bhavcopy\2024\09\BhavCopy_NSE_FO_0_0_0_20240902_F_0000.csv.zip,977469,2026-07-03T09:41:20.619966+05:30
2024-09-03,fetched,https://nsearchives.nseindia.com/content/fo/BhavCopy_NSE_FO_0_0_0_20240903_F_0000.csv.zip,C:\Ramgo\Business\Trading\India2026\Gitrade1\ctrade1\data\nse_fno_bhavcopy\2024\09\BhavCopy_NSE_FO_0_0_0_20240903_F_0000.csv.zip,992684,2026-07-03T09:41:20.619966+05:30
2024-09-04,fetched,https://nsearchives.nseindia.com/content/fo/BhavCopy_NSE_FO_0_0_0_20240904_F_0000.csv.zip,C:\Ramgo\Business\Trading\India2026\Gitrade1\ctrade1\data\nse_fno_bhavcopy\2024\09\BhavCopy_NSE_FO_0_0_0_20240904_F_0000.csv.zip,1010726,2026-07-03T09:41:20.619966+05:30
