fold_id,rebalance_ts,next_rebalance_ts,ticker,short_notional_weight_proxy,has_historical_futstk_coverage
9,2024-06-20 09:15:00,2024-08-02 09:15:00,BRITANNIA,0.02,True
9,2024-06-20 09:15:00,2024-08-02 09:15:00,ITC,0.02,True
9,2024-06-20 09:15:00,2024-08-02 09:15:00,BHARTIARTL,0.02,True
9,2024-06-20 09:15:00,2024-08-02 09:15:00,INFY,0.02,True
9,2024-08-02 09:15:00,2024-09-16 09:15:00,ADANIPORTS,0.02,True
9,2024-08-02 09:15:00,2024-09-16 09:15:00,WIPRO,0.02,True
9,2024-08-02 09:15:00,2024-09-16 09:15:00,HCLTECH,0.02,True
9,2024-08-02 09:15:00,2024-09-16 09:15:00,TECHM,0.02,True
9,2024-08-02 09:15:00,2024-09-16 09:15:00,INFY,0.02,True
9,2024-08-02 09:15:00,2024-09-16 09:15:00,M&M,0.02,True
9,2024-08-02 09:15:00,2024-09-16 09:15:00,TCS,0.02,True
9,2024-08-02 09:15:00,2024-09-16 09:15:00,ICICIBANK,0.02,True
9,2024-08-02 09:15:00,2024-09-16 09:15:00,RELIANCE,0.02,True
9,2024-08-02 09:15:00,2024-09-16 09:15:00,DRREDDY,0.02,True
9,2024-10-29 09:15:00,2024-12-12 09:15:00,HDFCBANK,0.02,True
9,2024-10-29 09:15:00,2024-12-12 09:15:00,DRREDDY,0.02,True
9,2024-10-29 09:15:00,2024-12-12 09:15:00,AXISBANK,0.02,True
9,2024-10-29 09:15:00,2024-12-12 09:15:00,KOTAKBANK,0.02,True
9,2024-10-29 09:15:00,2024-12-12 09:15:00,BPCL,0.02,True
9,2024-10-29 09:15:00,2024-12-12 09:15:00,SBIN,0.02,True
9,2024-10-29 09:15:00,2024-12-12 09:15:00,TECHM,0.02,True
9,2024-10-29 09:15:00,2024-12-12 09:15:00,TCS,0.02,True
9,2024-10-29 09:15:00,2024-12-12 09:15:00,ICICIBANK,0.02,True
9,2024-10-29 09:15:00,2024-12-12 09:15:00,BHARTIARTL,0.02,True
9,2024-12-12 09:15:00,2025-01-24 09:15:00,TECHM,0.02,True
9,2024-12-12 09:15:00,2025-01-24 09:15:00,SUNPHARMA,0.02,True
9,2024-12-12 09:15:00,2025-01-24 09:15:00,AXISBANK,0.02,True
9,2024-12-12 09:15:00,2025-01-24 09:15:00,SBIN,0.02,True
9,2024-12-12 09:15:00,2025-01-24 09:15:00,TCS,0.02,True
9,2024-12-12 09:15:00,2025-01-24 09:15:00,ICICIBANK,0.02,True
9,2024-12-12 09:15:00,2025-01-24 09:15:00,DRREDDY,0.02,True
9,2024-12-12 09:15:00,2025-01-24 09:15:00,CIPLA,0.02,True
9,2024-12-12 09:15:00,2025-01-24 09:15:00,INFY,0.02,True
9,2024-12-12 09:15:00,2025-01-24 09:15:00,ADANIPORTS,0.02,True
9,2025-01-24 09:15:00,2025-03-07 09:15:00,KOTAKBANK,0.02,True
9,2025-01-24 09:15:00,2025-03-07 09:15:00,ULTRACEMCO,0.02,True
9,2025-01-24 09:15:00,2025-03-07 09:15:00,BPCL,0.02,True
9,2025-01-24 09:15:00,2025-03-07 09:15:00,HCLTECH,0.02,True
9,2025-01-24 09:15:00,2025-03-07 09:15:00,SUNPHARMA,0.02,True
9,2025-01-24 09:15:00,2025-03-07 09:15:00,M&M,0.02,True
9,2025-01-24 09:15:00,2025-03-07 09:15:00,TECHM,0.02,True
9,2025-01-24 09:15:00,2025-03-07 09:15:00,RELIANCE,0.02,True
9,2025-01-24 09:15:00,2025-03-07 09:15:00,BAJAJ-AUTO,0.02,True
9,2025-01-24 09:15:00,2025-03-07 09:15:00,ONGC,0.02,True
9,2025-04-25 09:15:00,2025-05-05 09:15:00,LT,0.02,True
9,2025-04-25 09:15:00,2025-05-05 09:15:00,AXISBANK,0.02,True
9,2025-04-25 09:15:00,2025-05-05 09:15:00,M&M,0.02,True
9,2025-04-25 09:15:00,2025-05-05 09:15:00,WIPRO,0.02,True
9,2025-04-25 09:15:00,2025-05-05 09:15:00,ULTRACEMCO,0.02,True
9,2025-04-25 09:15:00,2025-05-05 09:15:00,CIPLA,0.02,True
9,2025-04-25 09:15:00,2025-05-05 09:15:00,HINDUNILVR,0.02,True
9,2025-04-25 09:15:00,2025-05-05 09:15:00,MARUTI,0.02,True
9,2025-04-25 09:15:00,2025-05-05 09:15:00,ITC,0.02,True
9,2025-04-25 09:15:00,2025-05-05 09:15:00,HCLTECH,0.02,True
10,2025-05-06 09:15:00,2025-06-17 09:15:00,ITC,0.02,True
10,2025-05-06 09:15:00,2025-06-17 09:15:00,BRITANNIA,0.02,True
10,2025-05-06 09:15:00,2025-06-17 09:15:00,ADANIPORTS,0.02,True
10,2025-05-06 09:15:00,2025-06-17 09:15:00,BHARTIARTL,0.02,True
10,2025-05-06 09:15:00,2025-06-17 09:15:00,ULTRACEMCO,0.02,True
10,2025-05-06 09:15:00,2025-06-17 09:15:00,TCS,0.02,True
10,2025-05-06 09:15:00,2025-06-17 09:15:00,ONGC,0.02,True
10,2025-05-06 09:15:00,2025-06-17 09:15:00,RELIANCE,0.02,True
10,2025-05-06 09:15:00,2025-06-17 09:15:00,ICICIBANK,0.02,True
10,2025-05-06 09:15:00,2025-06-17 09:15:00,AXISBANK,0.02,True
10,2025-06-17 09:15:00,2025-07-29 09:15:00,SUNPHARMA,0.02,True
10,2025-06-17 09:15:00,2025-07-29 09:15:00,M&M,0.02,True
10,2025-06-17 09:15:00,2025-07-29 09:15:00,LT,0.02,True
10,2025-06-17 09:15:00,2025-07-29 09:15:00,ADANIPORTS,0.02,True
10,2025-06-17 09:15:00,2025-07-29 09:15:00,CIPLA,0.02,True
10,2025-06-17 09:15:00,2025-07-29 09:15:00,BHARTIARTL,0.02,True
10,2025-06-17 09:15:00,2025-07-29 09:15:00,RELIANCE,0.02,True
10,2025-06-17 09:15:00,2025-07-29 09:15:00,HINDUNILVR,0.02,True
10,2025-06-17 09:15:00,2025-07-29 09:15:00,HDFCBANK,0.02,True
10,2025-06-17 09:15:00,2025-07-29 09:15:00,DRREDDY,0.02,True
10,2025-12-09 09:15:00,2026-01-22 09:15:00,M&M,0.02,True
10,2025-12-09 09:15:00,2026-01-22 09:15:00,ICICIBANK,0.02,True
10,2025-12-09 09:15:00,2026-01-22 09:15:00,CIPLA,0.02,True
10,2025-12-09 09:15:00,2026-01-22 09:15:00,INFY,0.02,True
10,2025-12-09 09:15:00,2026-01-22 09:15:00,KOTAKBANK,0.02,True
10,2025-12-09 09:15:00,2026-01-22 09:15:00,RELIANCE,0.02,True
10,2025-12-09 09:15:00,2026-01-22 09:15:00,SUNPHARMA,0.02,True
10,2025-12-09 09:15:00,2026-01-22 09:15:00,AXISBANK,0.02,True
10,2025-12-09 09:15:00,2026-01-22 09:15:00,ADANIPORTS,0.02,True
10,2025-12-09 09:15:00,2026-01-22 09:15:00,TCS,0.02,True
