trade_date,expiry_date,days_to_expiry,strike,option_type,open,high,low,close,settle_pr,contracts,val_inlakh,open_int,chg_in_oi,has_traded
2024-07-05,2024-09-26,83,23700.0,PE,263.45,270.0,241.55,241.55,241.55,144,862.67,2850,2150,True
2024-07-05,2024-09-26,83,23750.0,PE,0.0,0.0,0.0,498.5,380.2,0,0.0,0,0,False
2024-07-05,2024-09-26,83,23800.0,PE,306.0,311.35,262.8,268.3,268.3,76,457.63,3050,925,True
2024-07-05,2024-09-26,83,23850.0,PE,330.95,343.7,330.95,343.7,412.85,9,54.42,275,-100,True
2024-07-05,2024-09-26,83,23900.0,PE,330.9,345.45,300.0,300.0,300.0,64,387.52,5525,1425,True
2024-07-05,2024-09-26,83,23950.0,PE,322.0,322.0,314.95,314.95,314.95,7,42.47,875,0,True
2024-07-05,2024-09-26,83,24000.0,PE,360.0,375.6,328.0,334.3,334.3,5248,31957.64,459125,23700,True
2024-07-05,2024-09-26,83,24050.0,PE,0.0,0.0,0.0,617.85,483.8,0,0.0,0,0,False
2024-07-05,2024-09-26,83,24100.0,PE,382.95,388.85,359.5,360.1,360.1,94,575.1,9575,1625,True
2024-07-05,2024-09-26,83,24150.0,PE,430.5,430.5,398.0,398.0,522.15,2,12.28,100,0,True
2024-07-05,2024-09-26,83,24200.0,PE,417.75,440.25,385.0,392.05,392.05,129,793.79,9600,350,True
2024-07-05,2024-09-26,83,24250.0,PE,405.0,405.0,401.9,404.0,404.0,18,110.94,4525,150,True
2024-07-05,2024-09-26,83,24300.0,PE,441.0,514.95,424.5,427.2,427.2,202,1250.56,4900,2200,True
2024-07-05,2024-09-26,83,24350.0,PE,459.1,459.1,459.1,459.1,459.1,1,6.2,75,25,True
2024-07-05,2024-09-26,83,24400.0,PE,476.9,500.0,437.0,467.6,467.6,23,143.04,3300,50,True
2024-07-05,2024-09-26,83,24450.0,PE,0.0,0.0,0.0,486.45,648.9,0,0.0,50,0,False
2024-07-05,2024-09-26,83,24500.0,PE,550.0,561.4,490.05,502.75,502.75,1747,10933.14,52900,11175,True
2024-07-05,2024-09-26,83,24550.0,PE,0.0,0.0,0.0,527.1,695.15,0,0.0,75,0,False
2024-07-05,2024-09-26,83,24600.0,PE,0.0,0.0,0.0,880.35,718.95,0,0.0,0,0,False
2024-07-05,2024-09-26,83,24650.0,PE,0.0,0.0,0.0,907.0,743.3,0,0.0,0,0,False
2024-07-05,2024-09-26,83,24700.0,PE,0.0,0.0,0.0,934.15,768.05,0,0.0,0,0,False
2024-07-05,2024-09-26,83,24750.0,PE,0.0,0.0,0.0,961.75,793.35,0,0.0,0,0,False
2024-07-05,2024-09-26,83,24800.0,PE,0.0,0.0,0.0,989.8,819.15,0,0.0,0,0,False
2024-07-05,2024-09-26,83,24850.0,PE,0.0,0.0,0.0,1018.3,845.45,0,0.0,0,0,False
2024-07-05,2024-09-26,83,24900.0,PE,0.0,0.0,0.0,1047.25,872.25,0,0.0,0,0,False
2024-07-05,2024-09-26,83,24950.0,PE,0.0,0.0,0.0,1076.6,899.55,0,0.0,0,0,False
2024-07-05,2024-09-26,83,25000.0,PE,790.0,820.0,722.75,746.6,746.6,2286,14732.35,191500,14450,True
2024-07-05,2024-09-26,83,25050.0,PE,0.0,0.0,0.0,1136.75,955.5,0,0.0,0,0,False
2024-07-05,2024-09-26,83,25100.0,PE,0.0,0.0,0.0,1167.45,984.2,0,0.0,0,0,False
2024-07-05,2024-09-26,83,25150.0,PE,0.0,0.0,0.0,1198.6,1013.4,0,0.0,0,0,False
