symbol,trade_date,expiry_date,entry_spot,expiry_spot,short_put_strike,long_put_strike,short_put_premium,long_put_premium,net_credit_points,spread_width_points,max_loss_points,max_loss_pct_collateral,pnl_points,return_on_max_loss,return_on_cash_equivalent,assigned_or_tested
LT,2021-01-21,2021-02-25,1371.3,1506.45,1300.0,1240.0,32.4,11.0,21.4,60.0,38.6,0.029692307692307695,21.4,0.5544041450777202,0.01646153846153846,False
LT,2021-02-18,2021-03-25,1524.6,1371.1,1440.0,1380.0,24.65,12.0,12.649999999999999,60.0,47.35,0.03288194444444444,-47.35,-1.0,-0.03288194444444444,True
LT,2021-03-25,2021-04-29,1371.1,1358.65,1300.0,1240.0,20.3,9.55,10.75,60.0,49.25,0.037884615384615385,10.75,0.2182741116751269,0.00826923076923077,False
LT,2021-05-20,2021-06-24,1409.75,1504.05,1320.0,1260.0,14.2,6.05,8.149999999999999,60.0,51.85,0.03928030303030303,8.149999999999999,0.15718418514946958,0.006174242424242423,False
LT,2021-06-24,2021-07-29,1504.05,1596.0,1420.0,1360.0,12.6,5.4,7.199999999999999,60.0,52.8,0.03718309859154929,7.199999999999999,0.13636363636363635,0.0050704225352112674,False
LT,2021-07-22,2021-08-26,1642.15,1595.75,1560.0,1500.0,19.6,8.8,10.8,60.0,49.2,0.03153846153846154,10.8,0.21951219512195122,0.006923076923076923,False
LT,2021-08-26,2021-09-30,1595.75,1702.95,1500.0,1460.0,11.9,7.2,4.7,40.0,35.3,0.02353333333333333,4.7,0.1331444759206799,0.0031333333333333335,False
LT,2021-09-23,2021-10-28,1769.7,1814.25,1680.0,1600.0,24.95,9.6,15.35,80.0,64.65,0.03848214285714286,15.35,0.23743232791956687,0.009136904761904761,False
LT,2021-10-21,2021-11-25,1805.75,1849.9,1700.0,1660.0,28.5,20.0,8.5,40.0,31.5,0.01852941176470588,8.5,0.2698412698412698,0.005,False
LT,2021-11-25,2021-12-30,1849.9,1885.7,1740.0,1700.0,10.15,5.6,4.550000000000001,40.0,35.45,0.020373563218390806,4.550000000000001,0.1283497884344147,0.0026149425287356324,False
LT,2021-12-23,2022-01-27,1878.45,1910.85,1760.0,1700.0,13.05,6.1,6.950000000000001,60.0,53.05,0.030142045454545453,6.950000000000001,0.13100848256361924,0.003948863636363637,False
LT,2022-01-20,2022-02-24,2003.5,1757.35,1900.0,1880.0,25.85,21.6,4.25,20.0,15.75,0.008289473684210527,-15.75,-1.0,-0.008289473684210527,True
LT,2022-02-24,2022-03-31,1757.35,1767.65,1660.0,1580.0,31.55,11.95,19.6,80.0,60.4,0.0363855421686747,19.6,0.3245033112582782,0.011807228915662651,False
LT,2022-03-24,2022-04-28,1771.55,1719.25,1680.0,1600.0,28.0,13.4,14.6,80.0,65.4,0.03892857142857143,14.6,0.22324159021406725,0.00869047619047619,False
LT,2022-04-21,2022-05-26,1714.5,1564.55,1600.0,1560.0,15.15,10.0,5.15,40.0,34.85,0.021781250000000002,-30.300000000000047,-0.8694404591104747,-0.01893750000000003,True
LT,2022-05-26,2022-06-30,1564.55,1558.25,1480.0,1420.0,20.8,16.2,4.600000000000001,60.0,55.4,0.03743243243243243,4.600000000000001,0.08303249097472927,0.003108108108108109,False
LT,2022-06-23,2022-07-28,1494.3,1801.25,1400.0,1300.0,20.6,6.2,14.400000000000002,100.0,85.6,0.06114285714285714,14.400000000000002,0.1682242990654206,0.010285714285714287,False
LT,2022-07-21,2022-08-25,1765.15,1877.9,1660.0,1600.0,17.25,6.7,10.55,60.0,49.45,0.029789156626506025,10.55,0.21334681496461072,0.006355421686746988,False
LT,2022-08-25,2022-09-29,1877.9,1815.5,1780.0,1700.0,21.2,10.5,10.7,80.0,69.3,0.03893258426966292,10.7,0.1544011544011544,0.006011235955056179,False
LT,2022-09-22,2022-10-27,1888.2,1964.05,1700.0,1600.0,10.2,5.0,5.199999999999999,100.0,94.8,0.05576470588235294,5.199999999999999,0.05485232067510548,0.0030588235294117644,False
LT,2022-10-20,2022-11-24,1904.15,2052.2,1800.0,1700.0,19.8,6.5,13.3,100.0,86.7,0.04816666666666667,13.3,0.15340253748558247,0.007388888888888889,False
LT,2022-11-24,2022-12-29,2052.2,2110.9,1940.0,1860.0,10.35,4.0,6.35,80.0,73.65,0.037963917525773196,6.35,0.08621860149355057,0.0032731958762886597,False
LT,2022-12-21,2023-01-25,2146.3,2174.7,2000.0,1900.0,7.95,3.5,4.45,100.0,95.55,0.047775,4.45,0.04657247514390372,0.002225,False
LT,2023-01-19,2023-02-23,2273.1,2159.15,2140.0,2060.0,16.8,7.5,9.3,80.0,70.7,0.033037383177570094,9.3,0.13154172560113156,0.0043457943925233646,False
LT,2023-02-22,2023-03-29,2194.75,2147.45,2080.0,2000.0,17.7,6.95,10.75,80.0,69.25,0.03329326923076923,10.75,0.1552346570397112,0.005168269230769231,False
LT,2023-04-20,2023-05-25,2232.75,2204.7,2100.0,2000.0,11.5,3.55,7.95,100.0,92.05,0.043833333333333335,7.95,0.08636610537751223,0.003785714285714286,False
LT,2023-06-22,2023-07-27,2416.25,2660.2,2280.0,2200.0,17.0,7.0,10.0,80.0,70.0,0.03070175438596491,10.0,0.14285714285714285,0.0043859649122807015,False
LT,2023-07-27,2023-08-31,2660.2,2702.7,2520.0,2440.0,17.15,10.8,6.349999999999998,80.0,73.65,0.02922619047619048,6.349999999999998,0.08621860149355054,0.0025198412698412688,False
LT,2023-08-24,2023-09-28,2688.15,3010.0,2520.0,2480.0,6.05,4.95,1.0999999999999996,40.0,38.9,0.015436507936507936,1.0999999999999996,0.02827763496143958,0.00043650793650793634,False
LT,2023-09-21,2023-10-26,2899.35,2864.6,2700.0,2600.0,9.65,4.35,5.300000000000001,100.0,94.7,0.03507407407407408,5.300000000000001,0.055966209081309407,0.0019629629629629632,False
LT,2023-10-26,2023-11-30,2864.6,3109.2,2700.0,2600.0,15.7,6.85,8.85,100.0,91.15,0.03375925925925926,8.85,0.09709270433351617,0.0032777777777777775,False
LT,2023-11-23,2023-12-28,3045.65,3518.05,2860.0,2800.0,23.5,7.1,16.4,60.0,43.6,0.015244755244755246,16.4,0.37614678899082565,0.005734265734265734,False
LT,2023-12-21,2024-01-25,3424.15,3593.45,3200.0,3100.0,17.05,10.45,6.600000000000001,100.0,93.4,0.0291875,6.600000000000001,0.07066381156316917,0.0020625000000000005,False
LT,2024-01-25,2024-02-29,3593.45,3477.55,3400.0,3300.0,29.95,16.25,13.7,100.0,86.3,0.02538235294117647,13.7,0.15874855156431053,0.004029411764705882,False
LT,2024-02-22,2024-03-28,3363.75,3763.9,3100.0,3000.0,14.9,7.5,7.4,100.0,92.6,0.029870967741935484,7.4,0.0799136069114471,0.0023870967741935487,False
LT,2024-03-21,2024-04-25,3560.0,3652.3,3300.0,3200.0,11.25,6.95,4.3,100.0,95.7,0.029,4.3,0.04493207941483803,0.001303030303030303,False
LT,2024-04-25,2024-05-30,3652.3,3634.7,3460.0,3360.0,24.9,12.5,12.399999999999999,100.0,87.6,0.025317919075144506,12.399999999999999,0.1415525114155251,0.0035838150289017336,False
LT,2024-05-23,2024-06-27,3585.4,3564.4,3400.0,3240.0,63.9,28.45,35.45,160.0,124.55,0.03663235294117647,35.45,0.2846246487354476,0.010426470588235296,False
LT,2024-06-20,2024-07-25,3594.45,3619.15,3400.0,3300.0,29.9,16.1,13.799999999999997,100.0,86.2,0.02535294117647059,13.799999999999997,0.16009280742459392,0.004058823529411764,False
LT,2024-07-25,2024-08-29,3619.15,3683.45,3400.0,3300.0,24.25,14.0,10.25,100.0,89.75,0.026397058823529412,10.25,0.11420612813370473,0.003014705882352941,False
LT,2024-08-22,2024-09-26,3606.5,3762.15,3400.0,3100.0,18.05,6.5,11.55,300.0,288.45,0.08483823529411764,11.55,0.04004160166406657,0.003397058823529412,False
LT,2024-09-26,2024-10-31,3762.15,3622.3,3550.0,3400.0,24.1,9.9,14.200000000000001,150.0,135.8,0.038253521126760566,14.200000000000001,0.10456553755522828,0.004,False
LT,2024-10-24,2024-11-28,3442.65,3666.05,3250.0,3200.0,33.65,25.1,8.549999999999997,50.0,41.45,0.012753846153846156,8.549999999999997,0.20627261761158014,0.00263076923076923,False
LT,2024-11-21,2024-12-26,3483.5,3629.5,3300.0,3200.0,30.1,17.9,12.200000000000003,100.0,87.8,0.026606060606060605,12.200000000000003,0.13895216400911165,0.0036969696969696977,False
LT,2024-12-26,2025-01-30,3629.5,3420.95,3400.0,3300.0,15.15,7.5,7.65,100.0,92.35,0.02716176470588235,7.65,0.08283703302652952,0.0022500000000000003,False
RELIANCE,2024-10-28,2024-11-28,1334.35,1270.8,1260.0,1230.0,11.15,7.3,3.8500000000000005,30.0,26.15,0.020753968253968254,3.8500000000000005,0.14722753346080308,0.003055555555555556,False
RELIANCE,2024-11-21,2024-12-26,1223.0,1216.55,1160.0,1120.0,13.65,7.6,6.050000000000001,40.0,33.95,0.029267241379310346,6.050000000000001,0.17820324005891017,0.005215517241379311,False
RELIANCE,2024-12-26,2025-01-30,1216.55,1253.05,1150.0,1100.0,8.85,3.85,5.0,50.0,45.0,0.0391304347826087,5.0,0.1111111111111111,0.004347826086956522,False
SBIN,2016-05-09,2016-05-26,188.7,184.15,175.0,170.0,1.75,0.95,0.8,5.0,4.2,0.024,0.8,0.19047619047619047,0.004571428571428572,False
SBIN,2016-05-26,2016-06-30,184.15,218.8,170.0,165.0,5.45,3.9,1.5500000000000003,5.0,3.4499999999999997,0.020294117647058824,1.5500000000000003,0.4492753623188407,0.00911764705882353,False
SBIN,2016-06-23,2016-07-28,217.55,231.0,205.0,195.0,6.4,3.8,2.6000000000000005,10.0,7.3999999999999995,0.03609756097560975,2.6000000000000005,0.3513513513513514,0.012682926829268295,False
SBIN,2016-07-21,2016-08-25,225.65,250.15,210.0,200.0,4.2,2.2,2.0,10.0,8.0,0.0380952380952381,2.0,0.25,0.009523809523809525,False
SBIN,2016-08-25,2016-09-29,250.15,247.25,235.0,225.0,2.6,1.2,1.4000000000000001,10.0,8.6,0.03659574468085106,1.4000000000000001,0.16279069767441862,0.005957446808510639,False
SBIN,2016-09-22,2016-10-27,257.9,255.4,245.0,240.0,3.65,2.6,1.0499999999999998,5.0,3.95,0.016122448979591836,1.0499999999999998,0.2658227848101265,0.004285714285714285,False
SBIN,2016-10-20,2016-11-24,260.2,261.75,245.0,235.0,3.45,1.85,1.6,10.0,8.4,0.03428571428571429,1.6,0.19047619047619047,0.006530612244897959,False
