Date,Ticker,EventDate,Source,Purpose,Company,SourceUrl,FetchedAtIST
2025-02-10,AFSL,2025-02-10,NSE corporates-financial-results quarterly,Third Quarter,Abans Financial Services Limited,https://www.nseindia.com/api/corporates-financial-results?index=equities&period=Quarterly,2026-07-03T14:04:51.745795+05:30
2025-02-14,AGARIND,2025-02-14,NSE corporates-financial-results quarterly,Third Quarter,Agarwal Industrial Corporation Limited,https://www.nseindia.com/api/corporates-financial-results?index=equities&period=Quarterly,2026-07-03T14:04:51.745795+05:30
2025-02-15,AGARWALEYE,2025-02-15,NSE corporates-financial-results quarterly,Third Quarter,Dr. Agarwal's Health Care Limited,https://www.nseindia.com/api/corporates-financial-results?index=equities&period=Quarterly,2026-07-03T14:04:51.745795+05:30
2025-01-20,AGI,2025-01-20,NSE corporates-financial-results quarterly,Third Quarter,AGI Greenpac Limited,https://www.nseindia.com/api/corporates-financial-results?index=equities&period=Quarterly,2026-07-03T14:04:51.745795+05:30
2025-02-06,AGIIL,2025-02-06,NSE corporates-financial-results quarterly,Third Quarter,Agi Infra Limited,https://www.nseindia.com/api/corporates-financial-results?index=equities&period=Quarterly,2026-07-03T14:04:51.745795+05:30
2025-01-24,AGRITECH,2025-01-24,NSE corporates-financial-results quarterly,Third Quarter,Agri-Tech (India) Limited,https://www.nseindia.com/api/corporates-financial-results?index=equities&period=Quarterly,2026-07-03T14:04:51.745795+05:30
2025-02-06,AGROPHOS,2025-02-06,NSE corporates-financial-results quarterly,Third Quarter,Agro Phos India Limited,https://www.nseindia.com/api/corporates-financial-results?index=equities&period=Quarterly,2026-07-03T14:04:51.745795+05:30
2025-02-15,AGSTRA,2025-02-15,NSE corporates-financial-results quarterly,Third Quarter,AGS Transact Technologies Limited,https://www.nseindia.com/api/corporates-financial-results?index=equities&period=Quarterly,2026-07-03T14:04:51.745795+05:30
2025-02-14,AHLADA,2025-02-14,NSE corporates-financial-results quarterly,Third Quarter,Ahlada Engineers Limited,https://www.nseindia.com/api/corporates-financial-results?index=equities&period=Quarterly,2026-07-03T14:04:51.745795+05:30
2025-02-12,AHLEAST,2025-02-12,NSE corporates-financial-results quarterly,Third Quarter,Asian Hotels (East) Limited,https://www.nseindia.com/api/corporates-financial-results?index=equities&period=Quarterly,2026-07-03T14:04:51.745795+05:30
2026-07-09,AHLEAST,2026-07-09,NSE event-calendar,Financial Results/Dividend/Other business matters,Asian Hotels (East) Limited,https://www.nseindia.com/api/event-calendar,2026-07-03T14:04:51.745795+05:30
2025-02-12,AHLUCONT,2025-02-12,NSE corporates-financial-results quarterly,Third Quarter,Ahluwalia Contracts (India) Limited,https://www.nseindia.com/api/corporates-financial-results?index=equities&period=Quarterly,2026-07-03T14:04:51.745795+05:30
2025-02-12,AHLWEST,2025-02-12,NSE corporates-financial-results quarterly,Third Quarter,Asian Hotels (West) Limited,https://www.nseindia.com/api/corporates-financial-results?index=equities&period=Quarterly,2026-07-03T14:04:51.745795+05:30
2025-02-07,AIAENG,2025-02-07,NSE corporates-financial-results quarterly,Third Quarter,AIA Engineering Limited,https://www.nseindia.com/api/corporates-financial-results?index=equities&period=Quarterly,2026-07-03T14:04:51.745795+05:30
2025-10-27,AIFL,2025-10-27,NSE corporates-financial-results quarterly,Third Quarter,Ashapura Intimates Fashion Limited,https://www.nseindia.com/api/corporates-financial-results?index=equities&period=Quarterly,2026-07-03T14:04:51.745795+05:30
